PID,Lot_Area,House_Style,Overall_Qual,Overall_Cond,Year_Built,Heating_QC,Central_Air,Gr_Liv_Area,Bedroom_AbvGr,Fireplaces,Garage_Area,Mo_Sold,Yr_Sold,SalePrice,Basement_Area,Full_Bathroom,Half_Bathroom,Total_Bathroom,Deck_Porch_Area,Age_Sold,Season_Sold,Garage_Type_2,Foundation_2,Masonry_Veneer,Lot_Shape_2,House_Style2,Overall_Qual2,Overall_Cond2,Log_Price,Bonus,score
0527127150,4920,1Story,8,5,2001,Ex,Y,1338,2,0,582,4,2010,213500,1338,3,0,3,0,9,2,Attached,Concrete/Slab,N,Regular,1Story,6,5,12.271392112,1,
0527145080,5005,1Story,8,5,1992,Ex,Y,1280,2,0,506,1,2010,191500,1280,2,0,2,226,18,1,Attached,Concrete/Slab,N,Irregular,1Story,6,5,12.162643088,1,
0527425090,10500,1Story,4,5,1971,TA,Y,864,3,1,0,4,2010,115000,864,1,0,1,0,39,2,NA,Cinder Block,N,Regular,1Story,4,5,11.652687407,0,
0528228285,3203,1Story,7,5,2006,Ex,Y,1145,2,0,437,1,2010,160000,1145,2,0,2,216,4,1,Attached,Concrete/Slab,Y,Regular,1Story,6,5,11.982929094,0,
0528250100,7750,SLvl,7,5,2000,Ex,Y,1430,3,1,400,4,2010,180000,384,2,1,2.1,180,10,2,Attached,Concrete/Slab,N,Irregular,SLvl,6,5,12.10071213,1,
0531452050,7175,1Story,6,5,1984,TA,Y,752,2,0,264,2,2010,125000,744,2,0,2,443,26,1,Attached,Cinder Block,N,Regular,1Story,6,5,11.736069016,0,
0533253210,3880,1Story,8,6,1978,TA,Y,1226,1,1,484,1,2010,206000,1226,2,0,2,301,32,1,Attached,Cinder Block,N,Irregular,1Story,6,6,12.235631448,1,
0534401110,9900,1Story,5,5,1966,Gd,Y,1209,3,0,504,4,2010,159000,1209,2,0,2,0,44,2,Attached,Concrete/Slab,N,Regular,1Story,5,5,11.976659481,0,
0534403410,14112,SLvl,5,7,1964,TA,Y,1152,3,1,484,4,2010,180500,1152,2,0,2,227,46,2,Attached,Concrete/Slab,Y,Irregular,SLvl,5,6,12.103486057,1,
0534430080,9717,1Story,5,6,1950,Gd,Y,1078,2,0,240,4,2010,142125,1078,2,0,2,366,60,2,Attached,Cinder Block,N,Regular,1Story,5,6,11.864462231,0,
0534475100,9920,1Story,5,5,1954,TA,Y,1063,3,0,280,2,2010,128000,1056,2,0,2,0,56,1,Attached,Cinder Block,Y,Regular,1Story,5,5,11.759785543,0,
0534479320,7800,1Story,5,6,1954,Gd,Y,1268,2,1,244,3,2010,132000,1268,1,0,1,98,56,2,Attached,Concrete/Slab,Y,Regular,1Story,5,6,11.790557202,0,
0535101020,11380,SFoyer,6,8,1966,Gd,Y,1128,2,1,315,1,2010,178000,1080,2,0,2,238,44,1,Attached,Cinder Block,Y,Irregular,SFoyer,6,6,12.089538829,1,
